Job ID,Title,Company,Location,Date Posted,Points,Matched Keywords
4119837837,Dell Boomi Architect,Tranzeal Incorporated,"Dallas, TX",15 minutes ago,1,['AI']
4119836542,Design Engineer (hydraulic),Harvey Nash,"Mossville, IL",34 minutes ago,2,"['ROS', 'AI']"
4118841632,Threat Detection Engineer,Collabera,"Chicago, IL",11 minutes ago,2,"['Python', 'C++', 'AI']"
4121174911,Dynamic CRM Field Service Solution Architect,Compunnel Inc.,"Houston, TX",5 hours ago,1,"['ROS', 'AI']"
4121186845,Guidewire Solution Architect (Policy Center-Integration),Themesoft Inc.,"Plano, TX",4 hours ago,0,['AI']
4119824362,Software Engineer,FinThrive,United States,2 hours ago,0,['AI']
4121106645,Robotics Software Engineer,Applicantz,"Fremont, CA",10 hours ago,3,"['Python', 'ROS', 'AI']"
4118627129,Robotics Engineer - (C++/Multi Axis),Jobot,"New Freedom, PA",8 hours ago,1,"['C++', 'AI']"
4121219961,Sr. GNC Engineer,Terran Orbital Corporation,"Irvine, CA",2 hours ago,3,"['Python', 'C++', 'AI']"
4104216224,Senior Quantitative Developer - Futures,Algo Capital Group,"Chicago, IL",Reposted 10 hours ago,2,"['Python', 'C++', 'Machine Learning']"
